ReportingArea,MMWRYear,MMWRQuarter,TuberculosisCurrentQuarter,"Tuberculosis*, Current quarter, flag","Tuberculosis*, Previous 4 quarters Min","Tuberculosis*, Previous 4 quarters Min, flag","Tuberculosis*, Previous 4 quarters Max","Tuberculosis*, Previous 4 quarters Max, flag","Tuberculosis*, Cum 2014","Tuberculosis*, Cum 2014, flag","Tuberculosis*, Cum 2013","Tuberculosis*, Cum 2013, flag",Location 1 (state),Location 1,Location 2
WYOMING,2014,1,,-,0,,0,,,-,,-,WYOMING,POINT (-108.10982744299969 43.23554147100049),
ALABAMA,2014,1,35,,28,,35,,35,,12,,ALABAMA,POINT (-86.63185803899967 32.84057327200048),
OKLAHOMA,2014,1,7,,7,,18,,7,,10,,OKLAHOMA,POINT (-97.52106845499969 35.472034350000456),
NEVADA,2014,1,3,,3,,34,,3,,7,,NEVADA,POINT (-117.07183978499972 39.49324126500045),
DELAWARE,2014,1,1,,1,,5,,1,,3,,DELAWARE,POINT (-75.57773943699965 39.00883351400046),
TENNESSEE,2014,1,30,,30,,46,,30,,16,,TENNESSEE,POINT (-85.77448642199965 35.680943063000484),
TEXAS,2014,1,147,,147,,332,,147,,194,,TEXAS,POINT (-99.4267664729997 31.827243635000457),
PENNSYLVANIA,2014,1,21,,21,,81,,21,,27,,PENNSYLVANIA,POINT (-77.86069775999965 40.79373106100047),
AMER. SAMOA,2014,1,1,,0,,2,,1,,,-,AMER. SAMOA,POINT (-99.11415045099966 39.52368635500045),
VERMONT,2014,1,,-,0,,3,,,-,1,,VERMONT,POINT (-72.51763944499965 43.62538292400046),
LOUISIANA,2014,1,1,,1,,66,,1,,,-,LOUISIANA,POINT (-92.44567554599968 31.312662564000448),
MISSOURI,2014,1,6,,6,,32,,6,,14,,MISSOURI,POINT (-92.56629737199967 38.63579372300046),
INDIANA,2014,1,21,,18,,37,,21,,15,,INDIANA,POINT (-86.14995579899966 39.76691364600049),
NEW MEXICO,2014,1,4,,4,,17,,4,,8,,NEW MEXICO,POINT (-106.24057768899968 34.52088247800049),
NEW YORK,2014,1,32,,32,,61,,32,,26,,NEW YORK,POINT (-75.54396639699968 42.82700023900048),
OHIO,2014,1,,-,0,,49,,,-,17,,OHIO,POINT (-82.40425685299965 40.06021029700048),
ARIZONA,2014,1,5,,5,,105,,5,,,-,ARIZONA,POINT (-111.76380949799972 34.865973091000455),
OREGON,2014,1,15,,15,,24,,15,,11,,OREGON,POINT (-120.15502977999972 44.567446178000466),
WEST VIRGINIA,2014,1,4,,3,,5,,4,,2,,WEST VIRGINIA,POINT (-80.71263935099967 38.665511497000466),
UNITED STATES,2014,2,1850,,1660,,2789,,3510,,4315,,,,
NEW ENGLAND,2014,2,43,,43,,89,,97,,144,,,,
MID. ATLANTIC,2014,2,344,,225,,400,,569,,625,,,,
E.N. CENTRAL,2014,2,141,,109,,231,,250,,339,,,,
W.N. CENTRAL,2014,2,41,,41,,110,,97,,157,,,,
S. ATLANTIC,2014,2,366,,309,,517,,675,,788,,,,
DIST. OF COL.,2014,2,1,,1,,13,,8,,17,,DIST. OF COL.,,
E.S. CENTRAL,2014,2,103,,94,,105,,197,,183,,,,
W.S. CENTRAL,2014,2,304,,304,,403,,627,,723,,,,
MOUNTAIN,2014,2,104,,36,,168,,140,,176,,,,
PACIFIC,2014,2,404,,404,,778,,858,,1180,,,,
AMER. SAMOA,2014,2,,-,0,,2,,1,,,-,AMER. SAMOA,,
C.N.M.I.,2014,2,1,,0,,4,,1,,9,,C.N.M.I.,,
VIRGIN ISL.,2014,2,,-,0,,0,,,-,2,,VIRGIN ISL.,,
DELAWARE,2014,2,8,,4,,8,,13,,10,,DELAWARE,POINT (-75.57773943699965 39.00883059000046),
WYOMING,2014,2,,-,0,,0,,,-,,-,WYOMING,POINT (-108.10982744299969 43.235543013000495),
MISSOURI,2014,2,3,,3,,32,,11,,42,,MISSOURI,POINT (-92.56629737199967 38.63579079900046),
SOUTH CAROLINA,2014,2,19,,14,,37,,33,,39,,SOUTH CAROLINA,POINT (-81.04536765699964 33.99882214300044),
MARYLAND,2014,2,54,,28,,54,,82,,81,,MARYLAND,POINT (-76.60925970899967 39.29058224000045),
ILLINOIS,2014,2,83,,57,,113,,140,,141,,ILLINOIS,POINT (-88.99770813999965 40.48501433000047),
