ReportingArea,MMWR Year,MMWR Week,"Tuberculosis, Current week","Tuberculosis, Current week, flag","Tuberculosis, Previous 52 weeks Max†","Tuberculosis, Previous 52 weeks Max†, flag","Tuberculosis, Cum 2020†","Tuberculosis, Cum 2020†, flag","Tuberculosis, Cum 2019†","Tuberculosis, Cum 2019†, flag","Tularemia, Current week","Tularemia, Current week, flag","Tularemia, Previous 52 weeks Max†","Tularemia, Previous 52 weeks Max†, flag","Tularemia, Cum 2020†","Tularemia, Cum 2020†, flag","Tularemia, Cum 2019†","Tularemia, Cum 2019†, flag",Location 1,Location 2,Reporting Area Sort,New Georeferenced Column
ARKANSAS,2020,1,,U,,NC,,U,,U,,-,9,,,-,,-,ARKANSAS,,20200144,POINT (-92.439162 34.899825)
IDAHO,2020,1,,U,,NC,,U,,U,,-,0,,,-,,-,IDAHO,,20200151,POINT (-114.659366 44.389073)
EAST SOUTH CENTRAL,2020,1,,U,,NC,,U,,U,,-,3,,,-,,-,,EAST SOUTH CENTRAL,20200138,
UTAH,2020,1,,U,,NC,,U,,U,,-,0,,,-,,-,UTAH,,20200155,POINT (-111.678222 39.323779)
MOUNTAIN,2020,1,,U,,NC,,U,,U,,-,2,,,-,,-,,MOUNTAIN,20200148,
NEW YORK,2020,1,,U,,NC,,U,,U,,-,1,,,-,,-,NEW YORK,,20200111,POINT (-75.59655 42.921241)
LOUISIANA,2020,1,,U,,NC,,U,,U,,-,0,,,-,,-,LOUISIANA,,20200145,POINT (-91.840238 30.921313999999995)
WISCONSIN,2020,1,,U,,NC,,U,,U,,-,1,,,-,,-,WISCONSIN,,20200119,POINT (-89.732969 44.639954)
MONTANA,2020,1,,U,,NC,,U,,U,,-,1,,,-,,-,MONTANA,,20200152,POINT (-109.645127 47.033521)
OREGON,2020,1,,U,,NC,,U,,U,,-,1,,,-,,-,OREGON,,20200161,POINT (-120.60527899999998 43.940449)
U.S. VIRGIN ISLANDS,2020,1,,U,,NC,,U,,U,,-,0,,,-,,-,VIRGIN ISLANDS,,20200168,POINT (-64.840836 18.060868)
INDIANA,2020,1,,U,,NC,,U,,U,,-,0,,,-,,-,INDIANA,,20200116,POINT (-86.2818 39.91999100000001)
NEW ENGLAND,2020,1,,U,,NC,,U,,U,,-,2,,,-,,-,,NEW ENGLAND,20200102,
OKLAHOMA,2020,1,,U,,NC,,U,,U,,-,5,,,-,,-,OKLAHOMA,,20200146,POINT (-97.508297 35.583449)
IOWA,2020,1,,U,,NC,,U,,U,,-,1,,,-,,-,IOWA,,20200121,POINT (-93.500061 42.074659)
PUERTO RICO,2020,1,,U,,NC,,U,,U,,-,0,,,-,,-,PUERTO RICO,,20200167,POINT (-66.414655 18.215692)
COLORADO,2020,1,,U,,NC,,U,,U,,-,1,,,-,,-,COLORADO,,20200150,POINT (-105.547832 38.998552)
EAST NORTH CENTRAL,2020,1,,U,,NC,,U,,U,,-,1,,,-,,-,,EAST NORTH CENTRAL,20200114,
MISSISSIPPI,2020,1,,U,,NC,,U,,U,,-,1,,,-,,-,MISSISSIPPI,,20200141,POINT (-89.65344 32.713378)
GUAM,2020,1,,U,,NC,,U,,U,,-,0,,,-,,-,GUAM,,20200166,POINT (144.653198 13.353200000000001)
NORTH DAKOTA,2020,1,,U,,NC,,U,,U,,-,2,,,-,,-,NORTH DAKOTA,,20200126,POINT (-100.46931 47.446305)
MISSOURI,2020,1,,U,,NC,,U,,U,,-,4,,,-,,-,MISSOURI,,20200124,POINT (-92.477244 38.3675)
HAWAII,2020,1,,U,,NC,,U,,U,,-,0,,,-,,-,HAWAII,,20200160,POINT (-157.854309 21.361013)
SOUTH CAROLINA,2020,1,,U,,NC,,U,,U,,-,0,,,-,,-,SOUTH CAROLINA,,20200135,POINT (-80.864614 33.878572)
MICHIGAN,2020,1,,U,,NC,,U,,U,,-,0,,,-,,-,MICHIGAN,,20200117,POINT (-85.730977 44.874798)
DELAWARE,2020,1,,U,,NC,,U,,U,,-,0,,,-,,-,DELAWARE,,20200129,POINT (-75.452394 38.994926)
PACIFIC,2020,1,,U,,NC,,U,,U,,-,4,,,-,,-,,PACIFIC,20200157,
AMERICAN SAMOA,2020,1,,U,,NC,,U,,U,,-,0,,,-,,-,,AMERICAN SAMOA,20200164,
WASHINGTON,2020,1,,U,,NC,,U,,U,,-,4,,,-,,-,WASHINGTON,,20200162,POINT (-120.592492 47.411715)
NON-US RESIDENTS,2020,1,,U,,NC,,U,,U,,-,0,,,-,,-,,NON-US RESIDENTS,20200169,
FLORIDA,2020,1,,U,,NC,,U,,U,,-,0,,,-,,-,FLORIDA,,20200131,POINT (-82.42097800000002 28.260731)
TOTAL,2020,2,,U,,NC,,U,,U,,-,22,,,-,1,,,TOTAL,20200270,
NEW HAMPSHIRE,2020,2,,U,,NC,,U,,U,,-,1,,,-,,-,NEW HAMPSHIRE,,20200206,POINT (-71.57139 43.680429)
NEW YORK,2020,2,,U,,NC,,U,,U,,-,1,,,-,,-,NEW YORK,,20200211,POINT (-75.59655 42.921241)
PACIFIC,2020,2,,U,,NC,,U,,U,,-,1,,,-,,-,,PACIFIC,20200257,
WEST SOUTH CENTRAL,2020,2,,U,,NC,,U,,U,,-,12,,,-,,-,,WEST SOUTH CENTRAL,20200243,
