ReportingArea,MMWR Year,MMWR Week,"Tuberculosis, Current week","Tuberculosis, Current week, flag","Tuberculosis, Previous 52 weeks Max†","Tuberculosis, Previous 52 weeks Max†, flag","Tuberculosis, Cum 2020†","Tuberculosis, Cum 2020†, flag","Tuberculosis, Cum 2019†","Tuberculosis, Cum 2019†, flag","Tularemia, Current week","Tularemia, Current week, flag","Tularemia, Previous 52 weeks Max†","Tularemia, Previous 52 weeks Max†, flag","Tularemia, Cum 2020†","Tularemia, Cum 2020†, flag","Tularemia, Cum 2019†","Tularemia, Cum 2019†, flag",Location 1,Location 2,Reporting Area Sort,New Georeferenced Column
NORTH DAKOTA,2020,23,,-,3,,5,,10,,,-,2,,,-,1,,NORTH DAKOTA,,20202326,POINT (-100.46931 47.446305)
NEVADA,2020,23,,-,5,,22,,20,,,-,0,,,-,,-,NEVADA,,20202353,POINT (-114.916992 39.283294)
ILLINOIS,2020,23,1,,54,,61,,151,,,-,1,,1,,,-,ILLINOIS,,20202315,POINT (-89.148632 40.124144)
IOWA,2020,23,,-,4,,,-,13,,,-,1,,,-,1,,IOWA,,20202321,POINT (-93.500061 42.074659)
TEXAS,2020,23,,-,34,,246,,483,,,-,0,,,-,,-,TEXAS,,20202347,POINT (-99.317341 31.447238)
ALASKA,2020,23,,-,6,,29,,22,,,-,0,,,-,,-,ALASKA,,20202358,POINT (-151.631889 63.631126)
DISTRICT OF COLUMBIA,2020,23,,-,3,,9,,11,,,-,0,,,-,,-,DISTRICT OF COLUMBIA,,20202330,POINT (-77.016275 38.904785)
WASHINGTON,2020,23,,-,10,,41,,105,,,-,1,,,-,1,,WASHINGTON,,20202362,POINT (-120.592492 47.411715)
NEW ENGLAND,2020,23,,-,9,,82,,133,,,-,2,,1,,,-,,NEW ENGLAND,20202302,
RHODE ISLAND,2020,23,,-,1,,5,,7,,,-,0,,,-,,-,RHODE ISLAND,,20202307,POINT (-71.534637 41.572574)
OREGON,2020,23,,-,5,,22,,28,,1,,1,,1,,2,,OREGON,,20202361,POINT (-120.605279 43.940449)
DELAWARE,2020,23,,-,4,,3,,8,,,-,0,,,-,,-,DELAWARE,,20202329,POINT (-75.452394 38.994926)
ALABAMA,2020,23,,-,8,,29,,28,,,-,1,,,-,2,,ALABAMA,,20202339,POINT (-86.844516 32.756889)
KANSAS,2020,23,,-,8,,,-,14,,,-,1,,1,,5,,KANSAS,,20202322,POINT (-98.38018 38.484729)
NORTH CAROLINA,2020,23,4,,29,,72,,40,,,-,1,,,-,,-,NORTH CAROLINA,,20202334,POINT (-79.130883 35.52603)
GUAM,2020,23,,-,6,,26,,30,,,-,0,,,-,,-,GUAM,,20202366,POINT (144.653198 13.3532)
NEW JERSEY,2020,23,1,,39,,56,,130,,,-,1,,,-,,-,NEW JERSEY,,20202310,POINT (-74.655514 40.110253)
NEW MEXICO,2020,23,,-,4,,9,,12,,,-,0,,,-,2,,NEW MEXICO,,20202354,POINT (-106.108388 34.421369)
EAST NORTH CENTRAL,2020,23,5,,62,,189,,304,,,-,1,,1,,1,,,EAST NORTH CENTRAL,20202314,
TENNESSEE,2020,23,3,,6,,52,,44,,,-,2,,,-,1,,TENNESSEE,,20202342,POINT (-86.343226 35.842998)
CONNECTICUT,2020,23,,-,4,,23,,31,,,-,0,,,-,,-,CONNECTICUT,,20202303,POINT (-72.738288 41.575155)
MARYLAND,2020,23,,-,15,,43,,61,,,-,1,,,-,,-,MARYLAND,,20202333,POINT (-76.687282 38.946466)
SOUTH CAROLINA,2020,23,,-,11,,13,,28,,,-,0,,,-,,-,SOUTH CAROLINA,,20202335,POINT (-80.864614 33.878572)
OKLAHOMA,2020,23,4,,4,,25,,28,,,-,5,,1,,5,,OKLAHOMA,,20202346,POINT (-97.508297 35.583449)
NORTHERN MARIANA ISLANDS,2020,23,,-,3,,12,,22,,,-,0,,,-,,-,NORTHERN MARIANA ISLANDS,,20202365,POINT (145.725693 15.1834)
OHIO,2020,23,,-,19,,34,,37,,,-,0,,,-,,-,OHIO,,20202318,POINT (-82.70936 40.415534)
MINNESOTA,2020,23,,-,27,,46,,60,,,-,1,,,-,,-,MINNESOTA,,20202323,POINT (-94.198308 46.349153)
LOUISIANA,2020,23,1,,7,,45,,27,,,-,0,,,-,,-,LOUISIANA,,20202345,POINT (-91.840238 30.921314)
HAWAII,2020,23,,-,4,,32,,42,,,-,0,,,-,,-,HAWAII,,20202360,POINT (-157.854309 21.361013)
TOTAL,2020,14,63,,293,,1391,,2071,,1,,22,,10,,13,,,TOTAL,20201470,
US RESIDENTS,2020,14,63,,290,,1361,,2032,,1,,22,,10,,13,,,US RESIDENTS,20201401,
NEW HAMPSHIRE,2020,14,,-,2,,,-,4,,,-,1,,,-,,-,NEW HAMPSHIRE,,20201406,POINT (-71.57139 43.680429)
NEW YORK,2020,14,,-,16,,45,,46,,,-,1,,,-,,-,NEW YORK,,20201411,POINT (-75.59655 42.921241)
PACIFIC,2020,14,3,,76,,315,,634,,1,,1,,1,,1,,,PACIFIC,20201457,
WEST SOUTH CENTRAL,2020,14,8,,41,,178,,341,,,-,12,,2,,5,,,WEST SOUTH CENTRAL,20201443,
NEBRASKA,2020,14,,-,2,,3,,2,,,-,3,,,-,2,,NEBRASKA,,20201425,POINT (-99.810595 41.527099)
EAST SOUTH CENTRAL,2020,14,6,,14,,83,,75,,,-,3,,,-,,-,,EAST SOUTH CENTRAL,20201438,
NORTH DAKOTA,2020,14,,-,3,,4,,7,,,-,2,,,-,,-,NORTH DAKOTA,,20201426,POINT (-100.46931 47.446305)
NEVADA,2020,14,2,,5,,12,,9,,,-,0,,,-,,-,NEVADA,,20201453,POINT (-114.916992 39.283294)
ILLINOIS,2020,14,9,,54,,39,,77,,,-,1,,1,,,-,ILLINOIS,,20201415,POINT (-89.148632 40.124144)
IOWA,2020,14,,-,4,,,-,5,,,-,1,,,-,,-,IOWA,,20201421,POINT (-93.500061 42.074659)
TEXAS,2020,14,,-,34,,129,,280,,,-,0,,,-,,-,TEXAS,,20201447,POINT (-99.317341 31.447238)
ALASKA,2020,14,,-,6,,8,,9,,,-,0,,,-,,-,ALASKA,,20201458,POINT (-151.631889 63.631126)
DISTRICT OF COLUMBIA,2020,14,,-,3,,9,,8,,,-,0,,,-,,-,DISTRICT OF COLUMBIA,,20201430,POINT (-77.016275 38.904785)
WASHINGTON,2020,14,,-,10,,41,,64,,,-,1,,,-,,-,WASHINGTON,,20201462,POINT (-120.592492 47.411715)
NEW ENGLAND,2020,14,1,,13,,52,,80,,,-,2,,,-,,-,,NEW ENGLAND,20201402,
SOUTH ATLANTIC,2020,23,11,,90,,438,,576,,,-,1,,1,,2,,,SOUTH ATLANTIC,20202328,
PENNSYLVANIA,2020,23,,-,9,,59,,85,,,-,1,,,-,1,,PENNSYLVANIA,,20202313,POINT (-77.838886 40.896694)
UTAH,2020,23,,-,3,,14,,12,,,-,0,,,-,,-,UTAH,,20202355,POINT (-111.678222 39.323779)
COLORADO,2020,23,,-,6,,14,,22,,,-,1,,,-,2,,COLORADO,,20202350,POINT (-105.547832 38.998552)
VERMONT,2020,23,,-,1,,,-,3,,,-,0,,,-,,-,VERMONT,,20202308,POINT (-72.662695 44.075252)
RHODE ISLAND,2020,14,,-,2,,4,,4,,,-,0,,,-,,-,RHODE ISLAND,,20201407,POINT (-71.534637 41.572574)
OREGON,2020,14,2,,5,,17,,14,,1,,1,,1,,1,,OREGON,,20201461,POINT (-120.605279 43.940449)
DELAWARE,2020,14,,-,4,,2,,1,,,-,0,,,-,,-,DELAWARE,,20201429,POINT (-75.452394 38.994926)
ALABAMA,2020,14,,-,8,,17,,15,,,-,1,,,-,,-,ALABAMA,,20201439,POINT (-86.844516 32.756889)
KANSAS,2020,14,,-,8,,,-,6,,,-,3,,1,,,-,KANSAS,,20201422,POINT (-98.38018 38.484729)
NORTH CAROLINA,2020,14,3,,29,,20,,15,,,-,1,,,-,,-,NORTH CAROLINA,,20201434,POINT (-79.130883 35.52603)
GUAM,2020,14,,-,6,,18,,16,,,-,0,,,-,,-,GUAM,,20201466,POINT (144.653198 13.3532)
NEW JERSEY,2020,14,5,,39,,36,,84,,,-,1,,,-,,-,NEW JERSEY,,20201410,POINT (-74.655514 40.110253)
NEW MEXICO,2020,14,,-,4,,3,,9,,,-,1,,,-,1,,NEW MEXICO,,20201454,POINT (-106.108388 34.421369)
EAST NORTH CENTRAL,2020,14,15,,62,,131,,165,,,-,1,,1,,,-,,EAST NORTH CENTRAL,20201414,
TENNESSEE,2020,14,5,,6,,41,,28,,,-,2,,,-,,-,TENNESSEE,,20201442,POINT (-86.343226 35.842998)
CONNECTICUT,2020,14,,-,4,,14,,13,,,-,0,,,-,,-,CONNECTICUT,,20201403,POINT (-72.738288 41.575155)
MARYLAND,2020,14,7,,15,,31,,31,,,-,1,,,-,,-,MARYLAND,,20201433,POINT (-76.687282 38.946466)
SOUTH CAROLINA,2020,14,,-,11,,2,,16,,,-,0,,,-,,-,SOUTH CAROLINA,,20201435,POINT (-80.864614 33.878572)
OKLAHOMA,2020,14,1,,4,,13,,18,,,-,5,,,-,,-,OKLAHOMA,,20201446,POINT (-97.508297 35.583449)
NORTHERN MARIANA ISLANDS,2020,14,,-,3,,6,,15,,,-,0,,,-,,-,NORTHERN MARIANA ISLANDS,,20201465,POINT (145.725693 15.1834)
OHIO,2020,14,,-,19,,26,,22,,,-,0,,,-,,-,OHIO,,20201418,POINT (-82.70936 40.415534)
MINNESOTA,2020,14,5,,27,,30,,29,,,-,1,,,-,,-,MINNESOTA,,20201423,POINT (-94.198308 46.349153)
LOUISIANA,2020,14,7,,7,,26,,15,,,-,0,,,-,,-,LOUISIANA,,20201445,POINT (-91.840238 30.921314)
HAWAII,2020,14,,-,4,,14,,27,,,-,0,,,-,,-,HAWAII,,20201460,POINT (-157.854309 21.361013)
SOUTH ATLANTIC,2020,14,13,,90,,272,,295,,,-,1,,1,,,-,,SOUTH ATLANTIC,20201428,
PENNSYLVANIA,2020,14,1,,10,,42,,37,,,-,1,,,-,1,,PENNSYLVANIA,,20201413,POINT (-77.838886 40.896694)
UTAH,2020,14,1,,3,,8,,6,,,-,0,,,-,,-,UTAH,,20201455,POINT (-111.678222 39.323779)
COLORADO,2020,14,,-,6,,10,,15,,,-,1,,,-,1,,COLORADO,,20201450,POINT (-105.547832 38.998552)
VERMONT,2020,14,,-,1,,,-,2,,,-,0,,,-,,-,VERMONT,,20201408,POINT (-72.662695 44.075252)
KENTUCKY,2020,14,1,,5,,15,,16,,,-,2,,,-,,-,KENTUCKY,,20201440,POINT (-85.290484 37.526683)
PUERTO RICO,2020,14,,-,3,,6,,7,,,-,0,,,-,,-,PUERTO RICO,,20201467,POINT (-66.414655 18.215692)
MAINE,2020,14,1,,3,,4,,4,,,-,1,,,-,,-,MAINE,,20201404,POINT (-69.06137 45.117911)
VIRGINIA,2020,14,3,,28,,35,,21,,,-,1,,1,,,-,VIRGINIA,,20201436,POINT (-78.666382 37.510861)
ARIZONA,2020,14,,-,7,,,-,43,,,-,1,,1,,,-,ARIZONA,,20201449,POINT (-111.664616 34.293239)
AMERICAN SAMOA,2020,14,,-,0,,,-,1,,,-,0,,,-,,-,,AMERICAN SAMOA,20201464,
WISCONSIN,2020,14,1,,4,,13,,9,,,-,1,,,-,,-,WISCONSIN,,20201419,POINT (-89.732969 44.639954)
IDAHO,2020,14,,-,1,,2,,3,,,-,0,,,-,,-,IDAHO,,20201451,POINT (-114.659366 44.389073)
U.S. VIRGIN ISLANDS,2020,14,,-,0,,,-,,-,,-,0,,,-,,-,VIRGIN ISLANDS,,20201468,POINT (-64.840836 18.060868)
MICHIGAN,2020,14,,-,9,,24,,29,,,-,1,,,-,,-,MICHIGAN,,20201417,POINT (-85.730977 44.874798)
GEORGIA,2020,14,,-,32,,69,,51,,,-,0,,,-,,-,GEORGIA,,20201432,POINT (-83.426574 32.638481)
NEW YORK CITY,2020,14,,-,2,,,-,3,,,-,0,,,-,,-,,NEW YORK CITY,20201412,
ARKANSAS,2020,14,,-,4,,10,,28,,,-,9,,2,,5,,ARKANSAS,,20201444,POINT (-92.439162 34.899825)
MISSISSIPPI,2020,14,,-,6,,10,,16,,,-,1,,,-,,-,MISSISSIPPI,,20201441,POINT (-89.65344 32.713378)
SOUTH DAKOTA,2020,14,,-,2,,8,,4,,,-,3,,,-,1,,SOUTH DAKOTA,,20201427,POINT (-100.230491 44.43614)
WYOMING,2020,14,,-,1,,,-,,-,,-,1,,,-,,-,WYOMING,,20201456,POINT (-107.55145 42.999627)
MISSOURI,2020,14,,-,4,,1,,17,,,-,4,,3,,1,,MISSOURI,,20201424,POINT (-92.477244 38.3675)
MIDDLE ATLANTIC,2020,14,6,,46,,123,,170,,,-,1,,,-,1,,,MIDDLE ATLANTIC,20201409,
CALIFORNIA,2020,14,1,,69,,235,,520,,,-,1,,,-,,-,CALIFORNIA,,20201459,POINT (-119.662127 37.211164)
WEST VIRGINIA,2020,14,,-,2,,6,,1,,,-,0,,,-,,-,WEST VIRGINIA,,20201437,POINT (-80.613729 38.642579)
FLORIDA,2020,14,,-,17,,98,,151,,,-,0,,,-,,-,FLORIDA,,20201431,POINT (-82.420978 28.260731)
MONTANA,2020,14,,-,1,,,-,,-,,-,1,,,-,,-,MONTANA,,20201452,POINT (-109.645127 47.033521)
WEST NORTH CENTRAL,2020,14,5,,33,,46,,70,,,-,11,,4,,4,,,WEST NORTH CENTRAL,20201420,
MASSACHUSETTS,2020,14,,-,9,,30,,53,,,-,2,,,-,,-,MASSACHUSETTS,,20201405,POINT (-71.481104 42.151077)
INDIANA,2020,14,5,,10,,29,,28,,,-,0,,,-,,-,INDIANA,,20201416,POINT (-86.2818 39.919991)
NON-US RESIDENTS,2020,14,,-,0,,,-,,-,,-,0,,,-,,-,,NON-US RESIDENTS,20201469,
US TERRITORIES,2020,14,,-,8,,30,,39,,,-,0,,,-,,-,,US TERRITORIES,20201463,
KENTUCKY,2020,23,3,,5,,25,,28,,,-,2,,,-,2,,KENTUCKY,,20202340,POINT (-85.290484 37.526683)
PUERTO RICO,2020,23,,-,3,,9,,13,,,-,0,,,-,,-,PUERTO RICO,,20202367,POINT (-66.414655 18.215692)
MAINE,2020,23,,-,3,,9,,9,,,-,1,,,-,,-,MAINE,,20202304,POINT (-69.06137 45.117911)
VIRGINIA,2020,23,3,,28,,51,,59,,,-,1,,1,,2,,VIRGINIA,,20202336,POINT (-78.666382 37.510861)
ARIZONA,2020,23,,-,6,,,-,85,,,-,1,,1,,,-,ARIZONA,,20202349,POINT (-111.664616 34.293239)
AMERICAN SAMOA,2020,23,,-,0,,,-,1,,,-,0,,,-,,-,,AMERICAN SAMOA,20202364,
WISCONSIN,2020,23,,-,4,,17,,17,,,-,1,,,-,1,,WISCONSIN,,20202319,POINT (-89.732969 44.639954)
IDAHO,2020,23,,-,2,,5,,3,,,-,0,,,-,,-,IDAHO,,20202351,POINT (-114.659366 44.389073)
U.S. VIRGIN ISLANDS,2020,23,,-,1,,2,,,-,,-,0,,,-,,-,VIRGIN ISLANDS,,20202368,POINT (-64.840836 18.060868)
MICHIGAN,2020,23,,-,9,,35,,44,,,-,1,,,-,,-,MICHIGAN,,20202317,POINT (-85.730977 44.874798)
GEORGIA,2020,23,,-,26,,77,,113,,,-,1,,,-,,-,GEORGIA,,20202332,POINT (-83.426574 32.638481)
NEW YORK CITY,2020,23,,-,1,,,-,4,,,-,0,,,-,,-,,NEW YORK CITY,20202312,
ARKANSAS,2020,23,,-,3,,22,,39,,,-,9,,5,,20,,ARKANSAS,,20202344,POINT (-92.439162 34.899825)
MISSISSIPPI,2020,23,,-,6,,10,,30,,,-,0,,,-,1,,MISSISSIPPI,,20202341,POINT (-89.65344 32.713378)
TOTAL,2020,16,37,,293,,1636,,2396,,,-,22,,9,,19,,,TOTAL,20201670,
US RESIDENTS,2020,16,35,,290,,1603,,2346,,,-,22,,9,,19,,,US RESIDENTS,20201601,
NEW HAMPSHIRE,2020,16,,-,2,,,-,4,,,-,1,,,-,,-,NEW HAMPSHIRE,,20201606,POINT (-71.57139 43.680429)
NEW YORK,2020,16,2,,16,,50,,54,,,-,1,,,-,,-,NEW YORK,,20201611,POINT (-75.59655 42.921241)
PACIFIC,2020,16,2,,77,,401,,725,,,-,1,,,-,1,,,PACIFIC,20201657,
WEST SOUTH CENTRAL,2020,16,7,,41,,238,,396,,,-,12,,2,,8,,,WEST SOUTH CENTRAL,20201643,
NEBRASKA,2020,16,,-,2,,3,,2,,,-,3,,,-,2,,NEBRASKA,,20201625,POINT (-99.810595 41.527099)
EAST SOUTH CENTRAL,2020,16,3,,14,,87,,84,,,-,3,,,-,3,,,EAST SOUTH CENTRAL,20201638,
NORTH DAKOTA,2020,16,,-,3,,4,,7,,,-,2,,,-,,-,NORTH DAKOTA,,20201626,POINT (-100.46931 47.446305)
NEVADA,2020,16,,-,5,,13,,15,,,-,0,,,-,,-,NEVADA,,20201653,POINT (-114.916992 39.283294)
ILLINOIS,2020,16,,-,54,,44,,77,,,-,1,,1,,,-,ILLINOIS,,20201615,POINT (-89.148632 40.124144)
IOWA,2020,16,,-,4,,,-,6,,,-,1,,,-,,-,IOWA,,20201621,POINT (-93.500061 42.074659)
TEXAS,2020,16,5,,34,,181,,324,,,-,0,,,-,,-,TEXAS,,20201647,POINT (-99.317341 31.447238)
ALASKA,2020,16,,-,6,,8,,13,,,-,0,,,-,,-,ALASKA,,20201658,POINT (-151.631889 63.631126)
DISTRICT OF COLUMBIA,2020,16,,-,3,,9,,10,,,-,0,,,-,,-,DISTRICT OF COLUMBIA,,20201630,POINT (-77.016275 38.904785)
WASHINGTON,2020,16,,-,10,,41,,73,,,-,1,,,-,,-,WASHINGTON,,20201662,POINT (-120.592492 47.411715)
NEW ENGLAND,2020,16,2,,9,,60,,86,,,-,2,,,-,,-,,NEW ENGLAND,20201602,
RHODE ISLAND,2020,16,,-,2,,4,,5,,,-,0,,,-,,-,RHODE ISLAND,,20201607,POINT (-71.534637 41.572574)
OREGON,2020,16,1,,5,,18,,18,,,-,1,,,-,1,,OREGON,,20201661,POINT (-120.605279 43.940449)
DELAWARE,2020,16,,-,4,,2,,1,,,-,0,,,-,,-,DELAWARE,,20201629,POINT (-75.452394 38.994926)
ALABAMA,2020,16,2,,8,,20,,18,,,-,1,,,-,1,,ALABAMA,,20201639,POINT (-86.844516 32.756889)
KANSAS,2020,16,,-,8,,,-,6,,,-,3,,1,,,-,KANSAS,,20201622,POINT (-98.38018 38.484729)
NORTH CAROLINA,2020,16,7,,29,,36,,22,,,-,1,,,-,,-,NORTH CAROLINA,,20201634,POINT (-79.130883 35.52603)
GUAM,2020,16,1,,6,,20,,24,,,-,0,,,-,,-,GUAM,,20201666,POINT (144.653198 13.3532)
NEW JERSEY,2020,16,3,,39,,39,,91,,,-,1,,,-,,-,NEW JERSEY,,20201610,POINT (-74.655514 40.110253)
NEW MEXICO,2020,16,,-,4,,7,,11,,,-,1,,,-,1,,NEW MEXICO,,20201654,POINT (-106.108388 34.421369)
SOUTH DAKOTA,2020,23,,-,2,,9,,7,,,-,3,,,-,5,,SOUTH DAKOTA,,20202327,POINT (-100.230491 44.43614)
WYOMING,2020,23,,-,0,,,-,1,,,-,1,,1,,,-,WYOMING,,20202356,POINT (-107.55145 42.999627)
MISSOURI,2020,23,,-,4,,1,,24,,,-,4,,6,,3,,MISSOURI,,20202324,POINT (-92.477244 38.3675)
MIDDLE ATLANTIC,2020,23,3,,46,,181,,290,,,-,1,,,-,1,,,MIDDLE ATLANTIC,20202309,
CALIFORNIA,2020,23,8,,72,,534,,854,,,-,1,,,-,2,,CALIFORNIA,,20202359,POINT (-119.662127 37.211164)
WEST VIRGINIA,2020,23,,-,2,,8,,4,,,-,0,,,-,,-,WEST VIRGINIA,,20202337,POINT (-80.613729 38.642579)
FLORIDA,2020,23,4,,17,,162,,252,,,-,0,,,-,,-,FLORIDA,,20202331,POINT (-82.420978 28.260731)
MAINE,2020,16,1,,3,,5,,5,,,-,1,,,-,,-,MAINE,,20201604,POINT (-69.06137 45.117911)
VIRGINIA,2020,16,,-,28,,37,,28,,,-,1,,1,,,-,VIRGINIA,,20201636,POINT (-78.666382 37.510861)
ARIZONA,2020,16,,-,7,,,-,54,,,-,1,,1,,,-,ARIZONA,,20201649,POINT (-111.664616 34.293239)
AMERICAN SAMOA,2020,16,,-,0,,,-,1,,,-,0,,,-,,-,,AMERICAN SAMOA,20201664,
WISCONSIN,2020,16,,-,4,,13,,14,,,-,1,,,-,,-,WISCONSIN,,20201619,POINT (-89.732969 44.639954)
IDAHO,2020,16,,-,2,,4,,3,,,-,0,,,-,,-,IDAHO,,20201651,POINT (-114.659366 44.389073)
U.S. VIRGIN ISLANDS,2020,16,,-,0,,,-,,-,,-,0,,,-,,-,VIRGIN ISLANDS,,20201668,POINT (-64.840836 18.060868)
MICHIGAN,2020,16,,-,9,,26,,34,,,-,1,,,-,,-,MICHIGAN,,20201617,POINT (-85.730977 44.874798)
GEORGIA,2020,16,,-,32,,71,,52,,,-,0,,,-,,-,GEORGIA,,20201632,POINT (-83.426574 32.638481)
NEW YORK CITY,2020,16,,-,1,,,-,3,,,-,0,,,-,,-,,NEW YORK CITY,20201612,
ARKANSAS,2020,16,,-,3,,10,,29,,,-,9,,2,,8,,ARKANSAS,,20201644,POINT (-92.439162 34.899825)
MISSISSIPPI,2020,16,,-,6,,10,,17,,,-,1,,,-,,-,MISSISSIPPI,,20201641,POINT (-89.65344 32.713378)
SOUTH DAKOTA,2020,16,,-,2,,8,,4,,,-,3,,,-,1,,SOUTH DAKOTA,,20201627,POINT (-100.230491 44.43614)
WYOMING,2020,16,,-,1,,,-,,-,,-,1,,,-,,-,WYOMING,,20201656,POINT (-107.55145 42.999627)
MISSOURI,2020,16,,-,4,,1,,18,,,-,4,,3,,1,,MISSOURI,,20201624,POINT (-92.477244 38.3675)
MIDDLE ATLANTIC,2020,16,7,,46,,135,,198,,,-,1,,,-,1,,,MIDDLE ATLANTIC,20201609,
CALIFORNIA,2020,16,1,,70,,315,,593,,,-,1,,,-,,-,CALIFORNIA,,20201659,POINT (-119.662127 37.211164)
WEST VIRGINIA,2020,16,,-,2,,6,,1,,,-,0,,,-,,-,WEST VIRGINIA,,20201637,POINT (-80.613729 38.642579)
FLORIDA,2020,16,,-,17,,111,,177,,,-,0,,,-,,-,FLORIDA,,20201631,POINT (-82.420978 28.260731)
MONTANA,2020,16,,-,1,,,-,,-,,-,1,,,-,,-,MONTANA,,20201652,POINT (-109.645127 47.033521)
WEST NORTH CENTRAL,2020,16,,-,33,,46,,74,,,-,11,,4,,4,,,WEST NORTH CENTRAL,20201620,
MASSACHUSETTS,2020,16,1,,8,,37,,55,,,-,2,,,-,,-,MASSACHUSETTS,,20201605,POINT (-71.481104 42.151077)
MOUNTAIN,2020,16,1,,12,,47,,106,,,-,2,,1,,2,,,MOUNTAIN,20201648,
INDIANA,2020,16,,-,10,,30,,31,,,-,0,,,-,,-,INDIANA,,20201616,POINT (-86.2818 39.919991)
NON-US RESIDENTS,2020,16,,-,0,,,-,,-,,-,0,,,-,,-,,NON-US RESIDENTS,20201669,
US TERRITORIES,2020,16,2,,8,,33,,50,,,-,0,,,-,,-,,US TERRITORIES,20201663,
MONTANA,2020,23,,-,1,,,-,,-,,-,1,,1,,,-,MONTANA,,20202352,POINT (-109.645127 47.033521)
WEST NORTH CENTRAL,2020,23,,-,33,,64,,133,,,-,11,,8,,20,,,WEST NORTH CENTRAL,20202320,
MASSACHUSETTS,2020,23,,-,8,,45,,79,,,-,2,,1,,,-,MASSACHUSETTS,,20202305,POINT (-71.481104 42.151077)
TOTAL,2020,19,47,,294,,1904,,2926,,,-,22,,15,,32,,,TOTAL,20201970,
PACIFIC,2020,19,7,,79,,502,,840,,,-,1,,,-,3,,,PACIFIC,20201957,
ALASKA,2020,19,,-,6,,8,,17,,,-,0,,,-,,-,ALASKA,,20201958,POINT (-151.631889 63.631126)
WASHINGTON,2020,19,,-,10,,41,,85,,,-,1,,,-,,-,WASHINGTON,,20201962,POINT (-120.592492 47.411715)
OREGON,2020,19,1,,5,,20,,18,,,-,1,,,-,2,,OREGON,,20201961,POINT (-120.605279 43.940449)
GUAM,2020,19,,-,6,,23,,26,,,-,0,,,-,,-,GUAM,,20201966,POINT (144.653198 13.3532)
NORTHERN MARIANA ISLANDS,2020,19,,-,3,,7,,19,,,-,0,,,-,,-,NORTHERN MARIANA ISLANDS,,20201965,POINT (145.725693 15.1834)
HAWAII,2020,19,,-,4,,26,,36,,,-,0,,,-,,-,HAWAII,,20201960,POINT (-157.854309 21.361013)
PUERTO RICO,2020,19,,-,3,,6,,9,,,-,0,,,-,,-,PUERTO RICO,,20201967,POINT (-66.414655 18.215692)
AMERICAN SAMOA,2020,19,,-,0,,,-,1,,,-,0,,,-,,-,,AMERICAN SAMOA,20201964,
U.S. VIRGIN ISLANDS,2020,19,,-,0,,,-,,-,,-,0,,,-,,-,VIRGIN ISLANDS,,20201968,POINT (-64.840836 18.060868)
MOUNTAIN,2020,23,,-,12,,64,,155,,,-,2,,3,,4,,,MOUNTAIN,20202348,
INDIANA,2020,23,4,,5,,42,,55,,,-,0,,,-,,-,INDIANA,,20202316,POINT (-86.2818 39.919991)
NON-US RESIDENTS,2020,23,,-,0,,,-,,-,,-,0,,,-,,-,,NON-US RESIDENTS,20202369,
US TERRITORIES,2020,23,,-,8,,49,,66,,,-,0,,,-,,-,,US TERRITORIES,20202363,
TOTAL,2020,30,43,,294,,3238,,4856,,,-,12,,38,,149,,,TOTAL,20203070,
US RESIDENTS,2020,30,43,,291,,3174,,4771,,,-,12,,38,,149,,,US RESIDENTS,20203001,
NEW HAMPSHIRE,2020,30,,-,2,,,-,4,,,-,0,,,-,1,,NEW HAMPSHIRE,,20203006,POINT (-71.57139 43.680429)
NEW YORK,2020,30,3,,15,,86,,92,,,-,1,,,-,,-,NEW YORK,,20203011,POINT (-75.59655 42.921241)
PACIFIC,2020,30,6,,79,,914,,1400,,,-,1,,,-,8,,,PACIFIC,20203057,
WEST SOUTH CENTRAL,2020,30,2,,42,,471,,790,,,-,8,,8,,55,,,WEST SOUTH CENTRAL,20203043,
NEBRASKA,2020,30,,-,2,,3,,8,,,-,3,,3,,12,,NEBRASKA,,20203025,POINT (-99.810595 41.527099)
US RESIDENTS,2020,19,47,,291,,1868,,2871,,,-,22,,15,,32,,,US RESIDENTS,20201901,
NEW HAMPSHIRE,2020,19,,-,2,,,-,4,,,-,1,,,-,,-,NEW HAMPSHIRE,,20201906,POINT (-71.57139 43.680429)
NEW YORK,2020,19,3,,16,,59,,61,,,-,1,,,-,,-,NEW YORK,,20201911,POINT (-75.59655 42.921241)
WEST SOUTH CENTRAL,2020,19,3,,41,,257,,479,,,-,12,,4,,14,,,WEST SOUTH CENTRAL,20201943,
NEBRASKA,2020,19,,-,2,,3,,3,,,-,3,,1,,3,,NEBRASKA,,20201925,POINT (-99.810595 41.527099)
EAST SOUTH CENTRAL,2020,19,5,,14,,94,,104,,,-,3,,,-,4,,,EAST SOUTH CENTRAL,20201938,
NORTH DAKOTA,2020,19,,-,3,,5,,7,,,-,2,,,-,,-,NORTH DAKOTA,,20201926,POINT (-100.46931 47.446305)
NEVADA,2020,19,2,,5,,20,,15,,,-,0,,,-,,-,NEVADA,,20201953,POINT (-114.916992 39.283294)
ILLINOIS,2020,19,,-,54,,52,,111,,,-,1,,1,,,-,ILLINOIS,,20201915,POINT (-89.148632 40.124144)
IOWA,2020,19,,-,4,,,-,10,,,-,1,,,-,,-,IOWA,,20201921,POINT (-93.500061 42.074659)
TEXAS,2020,19,,-,34,,193,,399,,,-,0,,,-,,-,TEXAS,,20201947,POINT (-99.317341 31.447238)
