ReportingArea,MMWRYear,MMWRWeek,TuberculosisCurrentWeek,"Tuberculosis, Current week, flag","Tuberculosis, Previous 52 weeks Max†","Tuberculosis, Previous 52 weeks Max†, flag",TuberculosisCum2021,"Tuberculosis, Cum 2021†, flag","Tuberculosis, Cum 2020†","Tuberculosis, Cum 2020†, flag","Tularemia, Current week","Tularemia, Current week, flag","Tularemia, Previous 52 weeks Max†","Tularemia, Previous 52 weeks Max†, flag","Tularemia, Cum 2021†","Tularemia, Cum 2021†, flag","Tularemia, Cum 2020†","Tularemia, Cum 2020†, flag",Location 1,Location 2,Reporting Area Sort,geocode
INDIANA,2021,30,,-,21,,76,,55,,,-,1,,3,,1,,INDIANA,,20213016,POINT (-86.2818 39.919991)
NON-US RESIDENTS,2021,30,,-,0,,,-,,-,,-,0,,,-,,-,,NON-US RESIDENTS,20213069,
US TERRITORIES,2021,30,1,,7,,44,,78,,,-,0,,,-,,-,,US TERRITORIES,20213063,
ALABAMA,2021,35,,-,7,,54,,39,,,-,1,,,-,,-,ALABAMA,,20213539,POINT (-86.844516 32.756889)
KANSAS,2021,35,,-,7,,25,,20,,,-,3,,13,,8,,KANSAS,,20213522,POINT (-98.38018 38.484729)
NORTH CAROLINA,2021,35,5,,21,,89,,95,,,-,1,,1,,,-,NORTH CAROLINA,,20213534,POINT (-79.130883 35.52603)
GUAM,2021,35,,-,3,,41,,45,,,-,0,,,-,,-,GUAM,,20213566,POINT (144.653198 13.3532)
NEW JERSEY,2021,35,9,,86,,138,,97,,,-,1,,2,,2,,NEW JERSEY,,20213510,POINT (-74.655514 40.110253)
NEW MEXICO,2021,35,,-,3,,16,,17,,,-,0,,,-,1,,NEW MEXICO,,20213554,POINT (-106.108388 34.421369)
EAST NORTH CENTRAL,2021,35,14,,67,,417,,342,,,-,2,,7,,4,,,EAST NORTH CENTRAL,20213514,
TENNESSEE,2021,35,1,,7,,58,,82,,,-,1,,1,,,-,TENNESSEE,,20213542,POINT (-86.343226 35.842998)
CONNECTICUT,2021,35,,-,2,,27,,42,,,-,0,,,-,,-,CONNECTICUT,,20213503,POINT (-72.738288 41.575155)
MARYLAND,2021,35,1,,9,,96,,94,,,-,0,,,-,,-,MARYLAND,,20213533,POINT (-76.687282 38.946466)
SOUTH CAROLINA,2021,35,3,,8,,48,,30,,,-,0,,,-,,-,SOUTH CAROLINA,,20213535,POINT (-80.864614 33.878572)
OKLAHOMA,2021,35,,-,5,,6,,42,,,-,1,,1,,2,,OKLAHOMA,,20213546,POINT (-97.508297 35.583449)
NORTHERN MARIANA ISLANDS,2021,35,,-,2,,6,,24,,,-,0,,,-,,-,NORTHERN MARIANA ISLANDS,,20213565,POINT (145.725693 15.1834)
OHIO,2021,35,5,,49,,70,,71,,,-,0,,,-,,-,OHIO,,20213518,POINT (-82.70936 40.415534)
MINNESOTA,2021,35,3,,17,,82,,65,,,-,1,,,-,2,,MINNESOTA,,20213523,POINT (-94.198308 46.349153)
LOUISIANA,2021,35,,-,7,,48,,62,,,-,1,,,-,,-,LOUISIANA,,20213545,POINT (-91.840238 30.921314)
HAWAII,2021,35,2,,5,,63,,68,,,-,0,,,-,,-,HAWAII,,20213560,POINT (-157.854309 21.361013)
SOUTH ATLANTIC,2021,35,10,,51,,492,,800,,,-,1,,1,,2,,,SOUTH ATLANTIC,20213528,
PENNSYLVANIA,2021,35,3,,10,,104,,102,,,-,0,,,-,,-,PENNSYLVANIA,,20213513,POINT (-77.838886 40.896694)
UTAH,2021,35,1,,4,,5,,18,,,-,0,,,-,,-,UTAH,,20213555,POINT (-111.678222 39.323779)
COLORADO,2021,35,,-,7,,30,,34,,,-,1,,3,,1,,COLORADO,,20213550,POINT (-105.547832 38.998552)
VERMONT,2021,35,,-,2,,2,,2,,,-,0,,,-,,-,VERMONT,,20213508,POINT (-72.662695 44.075252)
KENTUCKY,2021,35,2,,5,,38,,45,,,-,2,,7,,4,,KENTUCKY,,20213540,POINT (-85.290484 37.526683)
PUERTO RICO,2021,35,,-,3,,8,,20,,,-,0,,,-,,-,PUERTO RICO,,20213567,POINT (-66.414655 18.215692)
MAINE,2021,35,,-,1,,9,,12,,,-,0,,,-,,-,MAINE,,20213504,POINT (-69.06137 45.117911)
VIRGINIA,2021,35,,-,16,,91,,97,,,-,1,,,-,1,,VIRGINIA,,20213536,POINT (-78.666382 37.510861)
ARIZONA,2021,35,,-,6,,69,,96,,,-,0,,,-,1,,ARIZONA,,20213549,POINT (-111.664616 34.293239)
AMERICAN SAMOA,2021,35,,-,1,,,-,3,,,-,0,,,-,,-,,AMERICAN SAMOA,20213564,
WISCONSIN,2021,35,,-,4,,39,,25,,,-,1,,3,,1,,WISCONSIN,,20213519,POINT (-89.732969 44.639954)
IDAHO,2021,35,,-,1,,1,,8,,,-,1,,2,,1,,IDAHO,,20213551,POINT (-114.659366 44.389073)
U.S. VIRGIN ISLANDS,2021,35,,-,0,,,-,4,,,-,0,,,-,,-,VIRGIN ISLANDS,,20213568,POINT (-64.840836 18.060868)
MICHIGAN,2021,35,,-,11,,69,,63,,,-,1,,1,,,-,MICHIGAN,,20213517,POINT (-85.730977 44.874798)
GEORGIA,2021,35,,-,10,,119,,163,,,-,0,,,-,,-,GEORGIA,,20213532,POINT (-83.426574 32.638481)
NEW YORK CITY,2021,35,7,,19,,337,,295,,,-,1,,1,,,-,,NEW YORK CITY,20213512,
ARKANSAS,2021,35,,-,4,,43,,42,,,-,1,,,-,16,,ARKANSAS,,20213544,POINT (-92.439162 34.899825)
MISSISSIPPI,2021,35,2,,2,,10,,28,,,-,0,,,-,,-,MISSISSIPPI,,20213541,POINT (-89.65344 32.713378)
SOUTH DAKOTA,2021,35,1,,2,,9,,14,,,-,2,,5,,7,,SOUTH DAKOTA,,20213527,POINT (-100.230491 44.43614)
WYOMING,2021,35,,-,1,,1,,,-,,-,1,,,-,2,,WYOMING,,20213556,POINT (-107.55145 42.999627)
MISSOURI,2021,35,,-,5,,37,,47,,,-,2,,1,,10,,MISSOURI,,20213524,POINT (-92.477244 38.3675)
MIDDLE ATLANTIC,2021,35,23,,102,,672,,597,,,-,2,,3,,2,,,MIDDLE ATLANTIC,20213509,
CALIFORNIA,2021,35,,-,60,,778,,1100,,,-,2,,,-,1,,CALIFORNIA,,20213559,POINT (-119.662127 37.211164)
WEST VIRGINIA,2021,35,,-,2,,6,,9,,,-,0,,,-,,-,WEST VIRGINIA,,20213537,POINT (-80.613729 38.642579)
FLORIDA,2021,35,,-,12,,,-,288,,,-,0,,,-,,-,FLORIDA,,20213531,POINT (-82.420978 28.260731)
MONTANA,2021,35,,-,3,,1,,1,,,-,1,,2,,1,,MONTANA,,20213552,POINT (-109.645127 47.033521)
WEST NORTH CENTRAL,2021,35,4,,25,,183,,212,,,-,4,,27,,42,,,WEST NORTH CENTRAL,20213520,
